Iteration,x,y,Utility
1,0,0,3.9402591168834302
1,1,0,3.831895560843904
1,2,0,3.647649679066899
1,3,0,2.3552941587208585
1,4,0,7.915446331349447
1,5,0,24.37496974556086
1,6,0,24.993427269376127
1,7,0,6.9008843732824285
1,8,0,-10.092915254209348
1,9,0,-10.65714007414757
1,0,1,-5.762819451846972
1,1,1,3.756013235106426
1,2,1,2.9460980523006155
1,3,1,0.0
1,4,1,-1.6768095891505097
1,5,1,22.29117814750171
1,6,1,22.36237582669353
1,7,1,-6.459326836162631
1,8,1,-6.196995108262774
1,9,1,-12.125158409060402
1,0,2,0.0
1,1,2,3.0445199976943145
1,2,2,0.0
1,3,2,-7.570704237128808
1,4,2,-4.643882558494792
1,5,2,0.0
1,6,2,18.3559808260765
1,7,2,-11.439318946569118
1,8,2,-10.931825713772415
1,9,2,-12.969073446793828
1,0,3,-8.872415861995949
1,1,3,0.0
1,2,3,0.0
1,3,3,-7.982081815017803
1,4,3,-7.679377135356916
1,5,3,-10.269161750982471
1,6,3,-13.495210226587766
1,7,3,-15.321405411460251
1,8,3,-12.309342418593792
1,9,3,-12.144017954835371
1,0,4,-19.876639769458173
1,1,4,-33.11680022863543
1,2,4,0.0
1,3,4,-11.220867490194752
1,4,4,-8.668402153924786
1,5,4,-14.503133188409386
1,6,4,-15.10352774967745
1,7,4,-16.0694435206358
1,8,4,-15.851210455791486
1,9,4,0.0
1,0,5,-32.49157082752878
1,1,5,-35.14033130164309
1,2,5,-36.50535277566132
1,3,5,-35.61253587954485
1,4,5,0.0
1,5,5,-14.997394932069383
1,6,5,-13.986221240891506
1,7,5,0.0
1,8,5,-14.761749256546194
1,9,5,-12.41435919051087
1,0,6,-26.80135244037944
1,1,6,-39.90122456349444
1,2,6,-46.938169014102456
1,3,6,-46.364622814431286
1,4,6,-47.03236847061112
1,5,6,0.0
1,6,6,0.0
1,7,6,4.376684558287331
1,8,6,0.0
1,9,6,-4.992542643026086
1,0,7,-13.72433571195949
1,1,7,0.0
1,2,7,-56.607874341031774
1,3,7,-56.81589427230514
1,4,7,0.0
1,5,7,-68.5357328542044
1,6,7,4.23314752186609
1,7,7,5.222214063087662
1,8,7,3.401382225944252
1,9,7,2.327473621578461
1,0,8,-12.1416334700084
1,1,8,-34.639203748038966
1,2,8,-60.24006460578365
1,3,8,-57.509994312115886
1,4,8,-65.747633077919
1,5,8,-65.36755953621275
1,6,8,-2.8484877949230523
1,7,8,3.132154953755612
1,8,8,1.8108935139277584
1,9,8,1.6945785578113033
1,0,9,-11.38832782217274
1,1,9,-36.30473868063944
1,2,9,-64.49276097689611
1,3,9,-65.78939481808918
1,4,9,-68.91887200749747
1,5,9,0.0
1,6,9,1.2485315450145955
1,7,9,1.826822880160193
1,8,9,1.7371344257591368
1,9,9,1.6361346397295284
2,0,0,84.15583006452123
2,1,0,82.56277140138171
2,2,0,81.09210990105149
2,3,0,42.50371845302455
2,4,0,44.30327475503165
2,5,0,46.02851970527888
2,6,0,46.67859936814796
2,7,0,46.13785002426573
2,8,0,45.70098514481572
2,9,0,46.37280654872183
2,0,1,81.4972886044894
2,1,1,78.569378921698
2,2,1,77.92934305714198
2,3,1,0.0
2,4,1,45.07953893294995
2,5,1,45.88340365194431
2,6,1,46.49537202807915
2,7,1,46.878419989390586
2,8,1,47.228503059797625
