Iteration,x,y,Utility
1,0,0,-4.131321674489354
1,1,0,0.0
1,2,0,4.807692307692307
1,3,0,-4.807692307692307
1,4,0,0.0
1,5,0,-33.53968042959105
1,6,0,-34.0259932106279
1,7,0,3.162780743221953
1,8,0,41.07404400850854
1,9,0,41.56202951730434
1,0,1,-4.133051104894505
1,1,1,0.0
1,2,1,0.0
1,3,1,-36.99762772495943
1,4,1,0.0
1,5,1,-43.14791852906572
1,6,1,-31.262338082625217
1,7,1,0.0
1,8,1,41.73092954999417
1,9,1,40.88615402744589
1,0,2,-4.148790668480769
1,1,2,5.406662531709993
1,2,2,0.0
1,3,2,-62.82862936857696
1,4,2,-59.0838298856898
1,5,2,-56.72037586225184
1,6,2,0.0
1,7,2,41.835209820233935
1,8,2,42.41491670115642
1,9,2,47.69083488005703
1,0,3,-4.018986599399304
1,1,3,-2.983042512706964
1,2,3,-4.7835922227219
1,3,3,0.0
1,4,3,-58.39577894425501
1,5,3,0.0
1,6,3,0.0
1,7,3,0.0
1,8,3,0.0
1,9,3,0.0
1,0,4,0.0
1,1,4,0.0
1,2,4,-19.26815375074076
1,3,4,-21.303354221925364
1,4,4,-25.09136384041724
1,5,4,-26.759622478608183
1,6,4,0.0
1,7,4,43.03466654249259
1,8,4,43.83307505243887
1,9,4,59.17007747041651
1,0,5,-7.539590540059872
1,1,5,-18.53740294743693
1,2,5,-19.017902297493336
1,3,5,0.0
1,4,5,-24.22690453635192
1,5,5,-19.358883166741663
1,6,5,43.166372453476704
1,7,5,43.52998645903673
1,8,5,45.11099359021488
1,9,5,61.886055900630105
1,0,6,-7.901317387411739
1,1,6,-16.166380382996536
1,2,6,-17.201750502932093
1,3,6,0.0
1,4,6,-16.85733667458467
1,5,6,0.0
1,6,6,45.03172242421867
1,7,6,45.88521806753148
1,8,6,58.32255395381515
1,9,6,60.76215107250446
1,0,7,-8.661323857121236
1,1,7,-15.216452383316708
1,2,7,-15.309611326853863
1,3,7,10.855647615017444
1,4,7,-10.789854146045604
1,5,7,25.1134327561054
1,6,7,0.0
1,7,7,45.06834043500108
1,8,7,0.0
1,9,7,59.953407280498574
1,0,8,-12.921797362525451
1,1,8,-13.685066716473912
1,2,8,0.0
1,3,8,17.01979215880537
1,4,8,14.453816226803278
1,5,8,17.5522494833302
1,6,8,0.0
1,7,8,38.71270565903895
1,8,8,39.50074712281617
1,9,8,40.70798449815498
1,0,9,-11.98175853763346
1,1,9,-12.792466127938736
1,2,9,0.0
1,3,9,17.60633012255595
1,4,9,13.979157364477343
1,5,9,21.868147253661085
1,6,9,0.0
1,7,9,36.68137386619108
1,8,9,34.246806387854974
1,9,9,35.68544021016458
2,0,0,-4.000137143213618
2,1,0,0.0
2,2,0,99.90058778156236
2,3,0,97.10329379869384
2,4,0,0.0
2,5,0,83.31976043520257
2,6,0,81.63912430777057
2,7,0,84.91565818311021
2,8,0,86.0388601853598
2,9,0,87.3158508625656
2,0,1,-4.000137143213618
2,1,1,0.0
2,2,1,0.0
2,3,1,94.64440719000144
