Iteration,x,y,Utility
2,3,3,0.0
2,4,3,-0.0796
2,5,3,0.0
2,6,3,0.0
2,7,3,0.0
2,8,3,0.0
2,9,3,0.0
2,0,4,0.0
2,1,4,0.0
2,2,4,-0.0796
2,3,4,-0.0796
2,4,4,-0.0796
2,5,4,-1.13464
2,6,4,0.0
2,7,4,-0.17464000000000002
2,8,4,-1.0396
2,9,4,0.6490400000000001
2,0,5,-0.0796
2,1,5,0.74408
2,2,5,-0.0796
2,3,5,0.0
2,4,5,-0.0796
2,5,5,-0.0796
2,6,5,-0.0796
2,7,5,-1.0396
2,8,5,0.6490400000000001
2,9,5,1.7840799999999999
2,0,6,0.74408
2,1,6,0.9604
2,2,6,-0.21592
2,3,6,0.0
2,4,6,-0.0796
2,5,6,0.0
2,6,6,-0.0796
2,7,6,0.74408
2,8,6,-0.0796
2,9,6,0.74408
2,0,7,-0.0796
2,1,7,0.74408
2,2,7,-0.0796
2,3,7,-0.0796
2,4,7,-0.21592
2,5,7,1.792
2,6,7,0.0
2,7,7,1.7840799999999999
2,8,7,0.0
2,9,7,-0.0796
2,0,8,0.74408
2,1,8,1.7840799999999999
2,2,8,0.0
2,3,8,0.74408
2,4,8,-0.26968000000000003
2,5,8,-0.3109599999999999
2,6,8,0.0
2,7,8,0.74408
2,8,8,-0.0796
2,9,8,-0.3109599999999999
2,0,9,-0.0796
2,1,9,0.74408
2,2,9,0.0
2,3,9,1.88704
2,4,9,-0.3109599999999999
2,5,9,1.792
2,6,9,0.0
2,7,9,-1.13464
2,8,9,0.74408
2,9,9,1.88704
3,0,0,-0.11880399999999999
3,1,0,0.0
3,2,0,2.9701000000000004
3,3,0,0.33887599999999996
3,4,0,0.0
3,5,0,2.75501656
3,6,0,0.4558702400000001
3,7,0,0.53355056
3,8,0,1.5203192
3,9,0,2.75501656
3,0,1,-0.11880399999999999
3,1,1,0.0
3,2,1,0.0
3,3,1,-1.715572
3,4,1,0.0
3,5,1,1.5203192
3,6,1,0.51064592
3,7,1,0.0
3,8,1,0.51064592
3,9,1,0.4558702400000001
3,0,2,0.47877488000000024
3,1,2,2.75501656
3,2,2,0.0
3,3,2,-2.29265488
3,4,2,-1.18325296
3,5,2,0.42910159999999997
3,6,2,0.0
3,7,2,0.53355056
3,8,2,1.5203192
3,9,2,2.75501656
3,0,3,0.52005488
3,1,3,1.4387748800000002
3,2,3,0.53355056
3,3,3,0.0
3,4,3,-0.11880399999999999
3,5,3,0.0
3,6,3,0.0
3,7,3,0.0
3,8,3,0.0
3,9,3,0.0
3,0,4,0.0
3,1,4,0.0
3,2,4,-0.11880399999999999
3,3,4,-0.11880399999999999
3,4,4,-0.11880399999999999
3,5,4,-1.18325296
3,6,4,0.0
3,7,4,-0.29852464
3,8,4,-0.43899472000000006
3,9,4,1.3343259200000002
3,0,5,0.61509488
3,1,5,0.7048760000000002
3,2,5,0.52005488
3,3,5,0.0
3,4,5,-0.11880399999999999
3,5,5,-0.11880399999999999
3,6,5,-0.11880399999999999
3,7,5,-0.35431408
3,8,5,1.26219056
3,9,5,2.5509102400000003
3,0,6,0.7048760000000002
3,1,6,1.7366392
3,2,6,-0.2551239999999998
3,3,6,0.0
3,4,6,-0.11880399999999999
3,5,6,0.0
3,6,6,0.53355056
3,7,6,1.35723056
3,8,6,0.6213675200000001
3,9,6,1.4387748800000002
3,0,7,0.6966392
3,1,7,1.35723056
3,2,7,0.52005488
3,3,7,0.52005488
3,4,7,0.38468528
3,5,7,2.5752959200000003
3,6,7,0.0
3,7,7,2.5603192000000004
3,8,7,0.0
3,9,7,0.53355056
3,0,8,1.35723056
3,1,8,2.5603192000000004
3,2,8,0.0
3,3,8,1.50150128
3,4,8,0.4971502399999999
3,5,8,0.3617806400000001
3,6,8,0.0
3,7,8,1.4387748800000002
3,8,8,0.61509488
3,9,8,0.4558702400000001
3,0,9,0.61509488
3,1,9,1.4387748800000002
3,2,9,0.0
3,3,9,2.75501656
3,4,9,0.43705232000000005
3,5,9,2.5658869600000003
3,6,9,0.0
3,7,9,-0.44935408
3,8,9,1.5203192
3,9,9,2.75501656
4,0,0,-0.15761596
4,1,0,0.0
4,2,0,3.9403990000000007
4,3,0,1.2160262960000003
4,4,0,0.0
4,5,0,3.6052313557600004
4,6,0,1.2776582153600002
4,7,0,1.2697358172800002
4,8,0,2.3430386624000006
4,9,0,3.6052313557600004
4,0,1,0.3156665129600002
4,1,1,0.0
4,2,1,0.0
4,3,1,-1.071293464
4,4,1,0.0
4,5,1,2.3430386624000006
4,6,1,1.25977790624
4,7,1,0.0
4,8,1,1.25977790624
4,9,1,1.2776582153600002
4,0,2,1.2216969526400003
4,1,2,3.5971584680800004
4,2,2,0.0
4,3,2,-2.3339508054399998
4,4,2,-0.78905517184
4,5,2,1.0894318217599999
4,6,2,0.0
4,7,2,1.2697358172800002
4,8,2,2.3430386624000006
4,9,2,3.6052313557600004
4,0,3,1.1983938512
4,1,3,2.24628005408
4,2,3,1.1405696144000004
4,3,3,0.0
4,4,3,-0.15761596
4,5,3,0.0
4,6,3,0.0
4,7,3,0.0
4,8,3,0.0
4,9,3,0.0
4,0,4,0.0
4,1,4,0.0
4,2,4,0.35904885152000005
4,3,4,-0.15761596
4,4,4,-0.15761596
4,5,4,-1.22299640704
4,6,4,0.0
4,7,4,-0.34106254816000003
